total_rawscore;indexscore;90_pct;95_pct;percentile;version;;;;
0;40;30-50;28-52;< 0.1;a;;;;
1;40;30-50;28-52;< 0.1;a;;;;
2;40;30-50;28-52;< 0.1;a;;;;
3;40;30-50;28-52;< 0.1;a;;;;
4;40;30-50;28-52;< 0.1;a;;;;
5;40;30-50;28-52;< 0.1;a;;;;
6;40;30-50;28-52;< 0.1;a;;;;
7;40;30-50;28-52;< 0.1;a;;;;
8;40;30-50;28-52;< 0.1;a;;;;
9;40;30-50;28-52;< 0.1;a;;;;
10;40;30-50;28-52;< 0.1;a;;;;
11;40;30-50;28-52;< 0.1;a;;;;
12;40;30-50;28-52;< 0.1;a;;;;
13;40;30-50;28-52;< 0.1;a;;;;
14;40;30-50;28-52;< 0.1;a;;;;
15;40;30-50;28-52;< 0.1;a;;;;
16;40;30-50;28-52;< 0.1;a;;;;
17;40;30-50;28-52;< 0.1;a;;;;
18;40;30-50;28-52;< 0.1;a;;;;
19;40;30-50;28-52;< 0.1;a;;;;
20;40;30-50;28-52;< 0.1;a;;;;
21;40;30-50;28-52;< 0.1;a;;;;
22;40;30-50;28-52;< 0.1;a;;;;
23;40;30-50;28-52;< 0.1;a;;;;
24;40;30-50;28-52;< 0.1;a;;;;
25;40;30-50;28-52;< 0.1;a;;;;
26;40;30-50;28-52;< 0.1;a;;;;
27;40;30-50;28-52;< 0.1;a;;;;
28;40;30-50;28-52;< 0.1;a;;;;
29;40;30-50;28-52;< 0.1;a;;;;
30;40;30-50;28-52;< 0.1;a;;;;
31;40;30-50;28-52;< 0.1;a;;;;
32;40;30-50;28-52;< 0.1;a;;;;
33;40;30-50;28-52;< 0.1;a;;;;
34;40;30-50;28-52;< 0.1;a;;;;
35;40;30-50;28-52;< 0.1;a;;;;
36;40;30-50;28-52;< 0.1;a;;;;
37;47;37-57;35-59;< 0.1;a;;;;
38;49;39-59;37-61;< 0.1;a;;;;
39;55;45-65;43-67;0,1;a;;;;
40;59;49-69;47-71;0,3;a;;;;
41;62;52-72;50-74;1;a;;;;
42;64;54-74;52-76;1;a;;;;
43;65;55-75;53-77;1;a;;;;
44;67;57-77;55-79;1;a;;;;
45;68;58-78;56-80;2;a;;;;
46;69;59-79;57-81;2;a;;;;
47;70;60-80;58-82;2;a;;;;
48;72;62-82;60-84;3;a;;;;
49;74;64-84;62-86;4;a;;;;
50;75;65-85;63-87;5;a;;;;
51;77;67-87;65-89;6;a;;;;
52;79;69-89;67-91;8;a;;;;
53;81;71-91;69-93;10;a;;;;
54;83;73-93;71-95;13;a;;;;
55;84;74-94;72-96;14;a;;;;
56;86;76-96;74-98;18;a;;;;
57;88;78-98;76-100;21;a;;;;
58;90;80-100;78-102;25;a;;;;
59;91;81-101;79-103;27;a;;;;
60;93;83-103;81-105;32;a;;;;
61;94;84-104;82-106;34;a;;;;
62;95;85-105;83-107;37;a;;;;
63;97;87-107;85-109;42;a;;;;
64;98;88-108;86-110;45;a;;;;
65;99;89-109;87-111;47;a;;;;
66;101;91-111;89-113;53;a;;;;
67;102;92-112;90-114;55;a;;;;
68;103;93-113;91-115;58;a;;;;
69;105;95-115;93-117;63;a;;;;
70;106;96-116;94-118;66;a;;;;
71;108;98-118;96-120;70;a;;;;
72;110;100-120;98-122;75;a;;;;
73;111;101-121;99-123;77;a;;;;
74;113;103-123;101-125;81;a;;;;
75;115;105-125;103-127;84;a;;;;
76;116;106-126;104-128;86;a;;;;
77;118;108-128;106-130;88;a;;;;
78;120;110-130;108-132;91;a;;;;
79;122;112-132;110-134;93;a;;;;
80;124;114-134;112-136;95;a;;;;
81;126;116-136;114-138;96;a;;;;
82;128;118-138;116-140;97;a;;;;
83;130;120-140;118-142;98;a;;;;
84;132;122-142;120-144;98;a;;;;
85;134;124-144;122-146;99;a;;;;
86;135;125-145;123-147;99;a;;;;
87;136;126-146;124-148;99;a;;;;
88;137;127-147;125-149;99;a;;;;
89;137;127-147;125-149;99;a;;;;
90;137;127-147;125-149;99;a;;;;
91;137;127-147;125-149;99;a;;;;
92;138;128-148;126-150;99;a;;;;
93;139;129-149;127-151;99,5;a;;;;
94;140;130-150;128-152;99,6;a;;;;
95;142;132-152;130-154;99,7;a;;;;
96;145;135-155;133-157;99,9;a;;;;
97;148;138-158;136-160;99,9;a;;;;
98;150;140-160;138-162;> 99.9;a;;;;
99;152;142-162;140-164;> 99.9;a;;;;
100;154;144-164;142-166;> 99.9;a;;;;
