total_rawscore;indexscore;90_pct;95_pct;percentile;version
0;40;30-50;28-52;< 0.1;a
1;40;30-50;28-52;< 0.1;a
2;40;30-50;28-52;< 0.1;a
3;40;30-50;28-52;< 0.1;a
4;40;30-50;28-52;< 0.1;a
5;40;30-50;28-52;< 0.1;a
6;40;30-50;28-52;< 0.1;a
7;40;30-50;28-52;< 0.1;a
8;40;30-50;28-52;< 0.1;a
9;40;30-50;28-52;< 0.1;a
10;40;30-50;28-52;< 0.1;a
11;40;30-50;28-52;< 0.1;a
12;40;30-50;28-52;< 0.1;a
13;40;30-50;28-52;< 0.1;a
14;40;30-50;28-52;< 0.1;a
15;40;30-50;28-52;< 0.1;a
16;40;30-50;28-52;< 0.1;a
17;40;30-50;28-52;< 0.1;a
18;40;30-50;28-52;< 0.1;a
19;40;30-50;28-52;< 0.1;a
20;40;30-50;28-52;< 0.1;a
21;40;30-50;28-52;< 0.1;a
22;40;30-50;28-52;< 0.1;a
23;40;30-50;28-52;< 0.1;a
24;40;30-50;28-52;< 0.1;a
25;40;30-50;28-52;< 0.1;a
26;40;30-50;28-52;< 0.1;a
27;40;30-50;28-52;< 0.1;a
28;40;30-50;28-52;< 0.1;a
29;40;30-50;28-52;< 0.1;a
30;40;30-50;28-52;< 0.1;a
31;40;30-50;28-52;< 0.1;a
32;40;30-50;28-52;< 0.1;a
33;40;30-50;28-52;< 0.1;a
34;40;30-50;28-52;< 0.1;a
35;43;33-53;31-55;< 0.1;a
36;45;35-55;33-57;< 0.1;a
37;47;37-57;35-59;< 0.1;a
38;49;39-59;37-61;< 0.1;a
39;52;42-62;40-64;0,1;a
40;56;46-66;44-68;0,2;a
41;63;53-73;51-75;1;a
42;68;58-78;56-80;2;a
43;70;60-80;58-82;2;a
44;72;62-82;60-84;3;a
45;73;63-83;61-85;4;a
46;74;64-84;62-86;4;a
47;76;66-86;64-88;5;a
48;78;68-88;66-90;7;a
49;80;70-90;68-92;9;a
50;82;72-92;70-94;12;a
51;85;75-95;73-97;16;a
52;88;78-98;76-100;21;a
53;91;81-101;79-103;27;a
54;93;83-103;81-105;32;a
55;96;86-106;84-108;39;a
56;100;90-110;88-112;50;a
57;104;94-114;92-116;61;a
58;108;98-118;96-120;70;a
59;113;103-123;101-125;81;a
60;118;108-128;106-130;88;a
61;126;116-136;114-138;96;a
62;131;121-141;119-143;98;a
