total_rawscore;indexscore;90_pct;95_pct;percentile;version
0;40;30-50;28-52;< 0.1;a
1;40;30-50;28-52;< 0.1;a
2;40;30-50;28-52;< 0.1;a
3;40;30-50;28-52;< 0.1;a
4;40;30-50;28-52;< 0.1;a
5;40;30-50;28-52;< 0.1;a
6;40;30-50;28-52;< 0.1;a
7;40;30-50;28-52;< 0.1;a
8;40;30-50;28-52;< 0.1;a
9;40;30-50;28-52;< 0.1;a
10;40;30-50;28-52;< 0.1;a
11;40;30-50;28-52;< 0.1;a
12;40;30-50;28-52;< 0.1;a
13;40;30-50;28-52;< 0.1;a
14;40;30-50;28-52;< 0.1;a
15;40;30-50;28-52;< 0.1;a
16;40;30-50;28-52;< 0.1;a
17;40;30-50;28-52;< 0.1;a
18;40;30-50;28-52;< 0.1;a
19;40;30-50;28-52;< 0.1;a
20;40;30-50;28-52;< 0.1;a
21;40;30-50;28-52;< 0.1;a
22;40;30-50;28-52;< 0.1;a
23;40;30-50;28-52;< 0.1;a
24;40;30-50;28-52;< 0.1;a
25;40;30-50;28-52;< 0.1;a
26;40;30-50;28-52;< 0.1;a
27;40;30-50;28-52;< 0.1;a
28;40;30-50;28-52;< 0.1;a
29;42;32-52;30-54;< 0.1;a
30;45;35-55;33-57;< 0.1;a
31;48;38-58;36-60;< 0.1;a
32;51;41-61;39-63;0,1;a
33;53;43-63;41-65;0,1;a
34;55;45-65;43-67;0,1;a
35;57;47-67;45-69;0,2;a
36;60;50-70;48-72;0,4;a
37;62;52-72;50-74;1;a
38;64;54-74;52-76;1;a
39;66;56-76;54-78;1;a
40;68;58-78;56-80;2;a
41;69;59-79;57-81;2;a
42;71;61-81;59-83;3;a
43;73;63-83;61-85;4;a
44;75;65-85;63-87;5;a
45;78;68-88;66-90;7;a
46;80;70-90;68-92;9;a
47;83;73-93;71-95;13;a
48;86;76-96;74-98;18;a
49;89;79-99;77-101;23;a
50;92;82-102;80-104;30;a
51;95;85-105;83-107;37;a
52;99;89-109;87-111;47;a
53;102;92-112;90-114;55;a
54;105;95-115;93-117;63;a
55;109;99-119;97-121;73;a
56;112;102-122;100-124;79;a
"57
_";116;106-126;104-128;86;a
58;119;109-129;107-131;90;a
59;123;113-133;111-135;94;a
60;128;118-138;116-140;97;a
61;133;123-143;121-145;99;a
62;138;128-148;126-150;99;a
63;145;135-155;133-157;99,9;a
64;149;139-159;137-161;99,9;a
