total_rawscore;indexscore;90_pct;95_pct;percentile;version
0;40;28-52;25-55;<0.1;a
1;40;28-52;25-55;<0.1;a
2;40;28-52;25-55;<0.1;a
3;40;28-52;25-55;<0.1;a
4;40;28-52;25-55;<0.1;a
5;40;28-52;25-55;<0.1;a
6;40;28-52;25-55;<0.1;a
7;40;28-52;25-55;<0.1;a
8;40;28-52;25-55;<0.1;a
9;40;28-52;25-55;<0.1;a
10;40;28-52;25-55;<0.1;a
11;40;28-52;25-55;<0.1;a
12;40;28-52;25-55;<0.1;a
13;40;28-52;25-55;<0.1;a
14;40;28-52;25-55;<0.1;a
15;40;28-52;25-55;<0.1;a
16;40;28-52;25-55;<0.1;a
17;42;30-54;27-57;<0.1;a
18;49;37-61;34-64;<0.1;a
19;57;45-69;42-72;.2;a
20;58;46-70;43-73;.3;a
21;60;48-72;45-75;.4;a
22;65;53-77;50-80;1;a
23;71;59-83;56-86;3;a
24;75;63-87;60-90;5;a
25;78;66-90;63-93;7;a
26;82;70-94;67-97;12;a
27;85;73-97;70-100;16;a
28;89;77-101;74-104;23;a
29;93;81-105;78-108;32;a
30;95;83-107;80-110;37;a
31;97;85-109;82-112;42;a
32;99;87-111;84-114;47;a
33;102;90-114;87-117;55;a
34;105;93-117;90-120;63;a
35;108;96-120;93-123;70;a
36;110;98-122;95-125;75;a
37;113;101-125;98-128;81;a
38;115;103-127;100-130;84;a
39;118;106-130;103-133;88;a
40;121;109-133;106-136 ;92;a
41;123;111-135;108-138;94;a
42;129;117-141;114-144;97;a
43;131;119-143;116-146;98;a
44;131;119-143;116-146;98;a
45;132;121-145;118-148;99;a
46;134;123-147;120-150;99;a
47;136;125-149;122-152;99;a
48;138;126-150;123-153;99;a
49;139;127-151;124-154;99,5;a
0;40;28-52;25-55;<0.1;b
1;40;28-52;25-55;<0.1;b
2;40;28-52;25-55;<0.1;b
3;40;28-52;25-55;<0.1;b
4;40;28-52;25-55;<0.1;b
5;40;28-52;25-55;<0.1;b
6;40;28-52;25-55;<0.1;b
7;40;28-52;25-55;<0.1;b
8;40;28-52;25-55;<0.1;b
9;40;28-52;25-55;<0.1;b
10;40;28-52;25-55;<0.1;b
11;40;28-52;25-55;<0.1;b
12;40;28-52;25-55;<0.1;b
13;40;28-52;25-55;<0.1;b
14;40;28-52;25-55;<0.1;b
15;40;28-52;25-55;<0.1;b
16;40;28-52;25-55;<0.1;b
17;40;28-52;25-55;<0.1;b
18;40;28-52;25-55;<0.1;b
19;40;28-52;25-55;<0.1;b
20;40;28-52;25-55;<0.1;b
21;42;30-54;27-57;<0.1;b
22;46;34-58;31-61;<0.1;b
23;52;40-64;37-67;0,1;b
24;59;47-71;44-74;0,3;b
25;66;54-78;51-81;1;b
26;71;59-83;56-86;3;b
27;75;63-87;60-90;5;b
28;78;66-90;63-93;7;b
29;80;68-92;65-95;9;b
30;82;70-94;67-97;12;b
31;85;73-97;70-100;16;b
32;88;76-100;73-103;21;b
33;91;79-103;76-106;27;b
34;94;82-106;79-109;34;b
35;97;85-109;82-112;42;b
36;101;89-113;86-116;53;b
37;105;93-117;90-120;63;b
38;107;95-119;92-122;68;b
39;109;97-121;94-124;73;b
40;111;99-123;96-126;77;b
41;112;100-124;97-127;79;b
42;116;104-128;101-131;86;b
43;119;107-131;104-134;90;b
44;120;108-132;105-135;91;b
45;122;110-134;107-137;93;b
46;124;112-136;109-139;95;b
47;127;115-139;112-142;96;b
48;132;120-144;117-147;98;b
49;136;124-148;121-151;99;b
50;137;125-149;122-152;99;b
51;137;125-149;122-152;99;b
52;138;126-150;123-153;99;b
53;147;135-159;132-162;99,9;b
54;155;143-167;140-170;>99.9;b
55;155;143-167;140-170;>99.9;b
