total_rawscore;indexscore;90_pct;95_pct;percentile;version
0;40;28-52;26-54;< 0.1;a
1;40;28-52;26-54;< 0.1;a
2;40;28-52;26-54;< 0.1;a
3;40;28-52;26-54;< 0.1;a
4;40;28-52;26-54;< 0.1;a
5;40;28-52;26-54;< 0.1;a
6;40;28-52;26-54;< 0.1;a
7;40;28-52;26-54;< 0.1;a
8;40;28-52;26-54;< 0.1;a
9;40;28-52;26-54;< 0.1;a
10;40;28-52;26-54;< 0.1;a
11;40;28-52;26-54;< 0.1;a
12;40;28-52;26-54;< 0.1;a
13;40;28-52;26-54;< 0.1;a
14;40;28-52;26-54;< 0.1;a
15;40;28-52;26-54;< 0.1;a
16;40;28-52;26-54;< 0.1;a
17;40;28-52;26-54;< 0.1;a
18;40;28-52;26-54;< 0.1;a
19;40;28-52;26-54;< 0.1;a
20;40;28-52;26-54;< 0.1;a
21;40;28-52;26-54;< 0.1;a
22;40;28-52;26-54;< 0.1;a
23;40;28-52;26-54;< 0.1;a
24;45;33-57;31-59;< 0.1;a
25;48;36-60;34-62;< 0.1;a
26;51;39-63;37-65;0,1;a
27;53;41-65;39-67;0,1;a
28;56;44-68;42-70;0,2;a
29;59;47-71;45-73;0,3;a
30;63;51-75;49-77;1;a
31;66;54-78;52-80;1;a
32;70;58-82;56-84;2;a
33;75;63-87;61-89;5;a
34;77;65-89;63-91;6;a
35;80;68-92;66-94;9;a
36;84;72-96;70-98;14;a
37;90;78-102;76-104;25;a
38;96;84-108;82-110;39;a
39;102;90-114;88-116;55;a
40;107;95-119;93-121;68;a
